gencode,ensembl,assembly,date
37,103,GRCh38,2020-12-07
36,102,GRCh38,2020-09-30
35,101,GRCh38,2020-06-03
34,100,GRCh38,2020-03-24
33,99,GRCh38,2019-12-13
32,98,GRCh38,2019-09-05
31,97,GRCh38,2019-06-27
30,96,GRCh38,2019-03-28
29,94,GRCh38,2018-08-30
28,92,GRCh38,2018-03-23
27,90,GRCh38,2017-08-01
26,88,GRCh38,2017-03-14
25,85,GRCh38,2016-07-15
24,83,GRCh38,2015-12-03
23,81,GRCh38,2015-07-15
22,79,GRCh38,2015-03-06
21,77,GRCh38,2014-09-29
20,76,GRCh38,2014-08-26
19,74,GRCh37,2013-12-05
18,73,GRCh37,2013-09-02
17,72,GRCh37,2013-06-17
16,71,GRCh37,2013-04-15
15,70,GRCh37,2013-01-21
14,69,GRCh37,2012-11-08
13,68,GRCh37,2012-08-09
12,67,GRCh37,2012-05-15
11,66,GRCh37,2012-02-21
10,65,GRCh37,2011-11-28
9,64,GRCh37,2011-09-29
8,63,GRCh37,2011-06-28
7,62,GRCh37,2011-03-23
6,61,GRCh37,2011-01-06
5,60,GRCh37,2010-12-07
